Porcentaje de Susceptibles, Cantidad de Suceptibles, Porcentaje de Infectados, Cantidad de Infectados, Porcentaje de Recuperados, Cantidad de Recuperados, Porcentaje de Muertos, Cantidad de Muertos 
95.2554,3810218,4.73135,189254,0.01,400,0.0032,128
95.1035,3804139,4.87887,195155,0.01335,534,0.0043,172
94.9528,3798114,5.02507,201003,0.016525,661,0.00555,222
94.7997,3791987,5.17287,206915,0.02045,818,0.007,280
94.6421,3785685,5.324,212960,0.025225,1009,0.00865,346
94.4836,3779345,5.4758,219032,0.03055,1222,0.010025,401
94.3203,3772810,5.63075,225230,0.0363,1452,0.0127,508
94.1535,3766138,5.7883,231532,0.043375,1735,0.014875,595
93.9845,3759379,5.94707,237883,0.050675,2027,0.017775,711
93.811,3752439,6.10875,244350,0.059975,2399,0.0203,812
93.6351,3745404,6.27365,250946,0.068125,2725,0.023125,925
93.459,3738358,6.43595,257438,0.07795,3118,0.02715,1086
93.2809,3731234,6.59985,263994,0.08795,3518,0.03135,1254
93.1002,3724007,6.76422,270569,0.1003,4012,0.0353,1412
92.9162,3716648,6.9314,277256,0.11245,4498,0.03995,1598
92.7281,3709126,7.10082,284033,0.12625,5050,0.044775,1791
92.5326,3701305,7.27648,291059,0.1405,5620,0.0504,2016
92.3406,3693625,7.44757,297903,0.155725,6229,0.056075,2243
92.1467,3685870,7.61908,304763,0.172075,6883,0.0621,2484
91.951,3678040,7.79023,311609,0.1898,7592,0.068975,2759
91.7474,3669896,7.96967,318787,0.20735,8294,0.075575,3023
91.5427,3661708,8.14862,325945,0.22555,9022,0.083125,3325
91.337,3653480,8.32785,333114,0.244675,9787,0.090475,3619
91.1343,3645372,8.50033,340013,0.26705,10682,0.098325,3933
90.9213,3636853,8.68337,347335,0.288975,11559,0.106325,4253
90.7072,3628287,8.86368,354547,0.31365,12546,0.1155,4620
90.4924,3619696,9.04252,361701,0.339975,13599,0.1251,5004
90.2761,3611043,9.22247,368899,0.36685,14674,0.1346,5384
90.0551,3602203,9.4055,376220,0.3951,15804,0.144325,5773
89.8296,3593185,9.59173,383669,0.423875,16955,0.154775,6191
89.6033,3584132,9.77557,391023,0.455,18200,0.166125,6645
89.3757,3575028,9.9566,398264,0.489425,19577,0.178275,7131
89.145,3565802,10.1424,405696,0.5222,20888,0.19035,7614
88.9157,3556627,10.3251,413004,0.5561,22244,0.203125,8125
88.6818,3547271,10.5116,420463,0.590325,23613,0.216325,8653
88.4445,3537778,10.6963,427853,0.629475,25179,0.22975,9190
88.2055,3528220,10.8803,435212,0.66905,26762,0.24515,9806
87.9629,3518515,11.0667,442667,0.710625,28425,0.259825,10393
87.7168,3508673,11.2527,450109,0.755375,30215,0.275075,11003
87.4758,3499034,11.4314,457255,0.800575,32023,0.2922,11688
87.2323,3489291,11.6102,464407,0.847375,33895,0.310175,12407
86.9801,3479203,11.7985,471938,0.894275,35771,0.3272,13088
86.7265,3469060,11.98,479201,0.94745,37898,0.346025,13841
86.4738,3458954,12.1623,486491,0.999075,39963,0.3648,14592
86.215,3448599,12.3484,493938,1.05245,42098,0.384125,15365
85.9588,3438353,12.5262,501048,1.11062,44425,0.40435,16174
85.6997,3427987,12.7039,508155,1.17005,46802,0.4264,17056
85.4398,3417591,12.8853,515410,1.22893,49157,0.44605,17842
85.1744,3406977,13.0686,522744,1.28892,51557,0.46805,18722
84.9086,3396345,13.2495,529982,1.3519,54076,0.489925,19597
84.6426,3385705,13.4301,537203,1.41525,56610,0.51205,20482
84.3719,3374878,13.6122,544487,1.47885,59154,0.537025,21481
84.0997,3363988,13.7924,551697,1.54558,61823,0.5623,22492
83.8229,3352917,13.9743,558973,1.61347,64539,0.589275,23571
83.5435,3341740,14.1594,566376,1.68257,67303,0.614525,24581
83.2612,3330447,14.3448,573792,1.7544,70176,0.639625,25585
82.9756,3319023,14.5296,581184,1.82793,73117,0.6669,26676
82.6865,3307461,14.7175,588699,1.90282,76113,0.693175,27727
82.3994,3295976,14.8986,595946,1.97877,79151,0.723175,28927
82.1124,3284495,15.0774,603094,2.05817,82327,0.7521,30084
81.8206,3272823,15.2586,610345,2.14058,85623,0.780225,31209
81.527,3261081,15.4388,617552,2.22423,88969,0.80995,32398
81.23,3249199,15.6187,624747,2.31038,92415,0.840975,33639
80.9364,3237456,15.7931,631725,2.3974,95896,0.873075,34923
80.6352,3225407,15.9733,638933,2.48595,99438,0.90555,36222
80.332,3213279,16.1534,646138,2.5759,103036,0.938675,37547
80.0318,3201270,16.3299,653196,2.66627,106651,0.972075,38883
79.7252,3189009,16.5106,660424,2.75677,110271,1.0074,40296
79.4151,3176606,16.6911,667645,2.85228,114091,1.04145,41658
79.1007,3164027,16.8711,674843,2.95005,118002,1.0782,43128
78.7893,3151571,17.0481,681923,3.0488,121952,1.11385,44554
78.4757,3139029,17.2238,688951,3.14972,125989,1.15078,46031
78.1581,3126325,17.4016,696064,3.254,130160,1.18627,47451
77.8365,3113459,17.5807,703226,3.35862,134345,1.22425,48970
77.5166,3100664,17.7592,710369,3.4624,138496,1.26178,50471
77.1949,3087796,17.9306,717223,3.57145,142858,1.30307,52123
76.8724,3074895,18.104,724160,3.68035,147214,1.34327,53731
76.5451,3061805,18.2774,731094,3.79265,151706,1.38488,55395
76.2237,3048949,18.448,737921,3.90243,156097,1.42583,57033
75.8913,3035653,18.624,744959,4.01888,160755,1.46582,58633
75.5583,3022334,18.7979,751917,4.13615,165446,1.50758,60303
75.2283,3009130,18.9705,758822,4.25242,170097,1.54878,61951
74.8967,2995868,19.1357,765429,4.37392,174957,1.59365,63746
74.564,2982561,19.3026,772106,4.4971,179884,1.63622,65449
74.2301,2969204,19.4679,778715,4.62193,184877,1.6801,67204
73.8903,2955613,19.6345,785380,4.74825,189930,1.72693,69077
73.5489,2941955,19.7998,791993,4.87788,195115,1.77343,70937
73.209,2928362,19.9609,798434,5.00838,200335,1.82173,72869
72.8677,2914707,20.1212,804847,5.1417,205668,1.86945,74778
72.5231,2900924,20.2829,811316,5.2777,211108,1.9163,76652
72.1772,2887088,20.4418,817674,5.41538,216615,1.96557,78623
71.8344,2873376,20.5997,823988,5.55192,222077,2.01398,80559
71.4866,2859462,20.7614,830457,5.68955,227582,2.06248,82499
71.1421,2845684,20.9161,836643,5.829,233160,2.11282,84513
70.7933,2831733,21.0692,842767,5.97248,238899,2.16502,86601
70.4401,2817604,21.2267,849069,6.1194,244776,2.21378,88551
70.0901,2803606,21.3757,855028,6.26778,250711,2.26638,90655
69.7348,2789391,21.5313,861251,6.4141,256564,2.31985,92794
69.3855,2775419,21.6788,867151,6.5623,262492,2.37345,94938
69.03,2761201,21.8306,873225,6.71247,268499,2.42687,97075
68.6793,2747172,21.9723,878891,6.86608,274643,2.48235,99294
68.329,2733159,22.1131,884525,7.01887,280755,2.53903,101561
67.9732,2718927,22.2544,890174,7.1768,287072,2.59567,103827
67.6197,2704789,22.3897,895588,7.33577,293431,2.6548,106192
67.2636,2690543,22.5245,900982,7.49865,299946,2.71322,108529
66.9044,2676174,22.6615,906462,7.66223,306489,2.77188,110875
66.5393,2661571,22.8023,912093,7.82652,313061,2.83188,113275
66.178,2647119,22.9374,917497,7.9903,319612,2.8943,115772
65.8107,2632428,23.0789,923156,8.1572,326288,2.9532,118128
65.45,2618000,23.2097,928389,8.32695,333078,3.01333,120533
65.0901,2603604,23.3375,933501,8.49933,339973,3.07305,122922
64.728,2589121,23.4677,938709,8.66975,346790,3.1345,125380
64.3648,2574592,23.5918,943673,8.84473,353789,3.19865,127946
64.0033,2560132,23.712,948478,9.0222,360888,3.26255,130502
63.6397,2545588,23.8365,953459,9.19685,367874,3.32698,133079
63.2816,2531263,23.952,958078,9.37483,374993,3.39165,135666
62.9197,2516786,24.0735,962941,9.5508,382032,3.45602,138241
62.5549,2502196,24.1916,967665,9.73027,389211,3.5232,140928
62.1918,2487672,24.3022,972089,9.91665,396666,3.58933,143573
61.8244,2472976,24.4146,976584,10.1056,404225,3.65538,146215
61.4604,2458415,24.5232,980927,10.2945,411781,3.72193,148877
61.0896,2443585,24.6359,985436,10.4854,419416,3.78907,151563
60.7209,2428838,24.7414,989656,10.6793,427171,3.85838,154335
60.3562,2414248,24.8435,993740,10.8728,434912,3.9275,157100
59.9852,2399408,24.9442,997767,11.0717,442868,3.99892,159957
59.618,2384719,25.0453,1001811,11.2687,450749,4.06803,162721
59.2514,2370057,25.1442,1005769,11.4653,458611,4.13908,165563
58.8798,2355193,25.244,1009761,11.6632,466528,4.21295,168518
58.5109,2340437,25.341,1013640,11.8624,474495,4.2857,171428
58.1419,2325678,25.4314,1017254,12.068,482722,4.35865,174346
57.7726,2310902,25.5263,1021053,12.2715,490861,4.4296,177184
57.4061,2296246,25.6095,1024379,12.4792,499169,4.50515,180206
57.0334,2281335,25.6964,1027857,12.6879,507515,4.58232,183293
56.6649,2266596,25.7817,1031269,12.8961,515843,4.6573,186292
56.2957,2251830,25.8638,1034553,13.1077,524306,4.73278,189311
55.9261,2237042,25.9485,1037942,13.3172,532690,4.80815,192326
55.5586,2222343,26.0236,1040945,13.5325,541299,4.88532,195413
55.1895,2207579,26.1,1044000,13.7496,549983,4.96095,198438
54.8176,2192706,26.1762,1047050,13.9684,558735,5.03773,201509
54.4507,2178027,26.2468,1049872,14.1876,567506,5.11487,204595
54.0806,2163224,26.314,1052560,14.4109,576437,5.19447,207779
53.7149,2148594,26.3747,1054989,14.6351,585406,5.27527,211011
53.3435,2133739,26.4438,1057752,14.8543,594172,5.35843,214337
52.9756,2119026,26.508,1060318,15.0769,603076,5.4395,217580
52.6071,2104285,26.5688,1062754,15.3008,612033,5.5232,220928
52.2363,2089451,26.6296,1065186,15.5294,621174,5.60473,224189
51.8734,2074937,26.6859,1067435,15.7547,630187,5.68602,227441
51.5105,2060420,26.7413,1069653,15.9804,639217,5.76775,230710
